year_month,ADM1_EN,convergence_score,metric
2025-07,Central Equatoria,2,n_events_total
2025-08,Central Equatoria,1,n_events_total
2025-09,Central Equatoria,1,n_events_total
2025-10,Central Equatoria,1,n_events_total
2025-11,Central Equatoria,0,n_events_total
2025-12,Central Equatoria,1,n_events_total
2014-03,Eastern Equatoria,0,n_events_total
2014-04,Eastern Equatoria,0,n_events_total
2014-05,Eastern Equatoria,0,n_events_total
2014-07,Eastern Equatoria,0,n_events_total
2014-11,Eastern Equatoria,0,n_events_total
2014-12,Eastern Equatoria,0,n_events_total
2015-01,Eastern Equatoria,0,n_events_total
2015-02,Eastern Equatoria,0,n_events_total
2015-03,Eastern Equatoria,1,n_events_total
2015-04,Eastern Equatoria,0,n_events_total
2015-05,Eastern Equatoria,0,n_events_total
2015-06,Eastern Equatoria,2,n_events_total
2015-07,Eastern Equatoria,2,n_events_total
2015-08,Eastern Equatoria,5,n_events_total
2015-09,Eastern Equatoria,1,n_events_total
2015-10,Eastern Equatoria,0,n_events_total
2015-11,Eastern Equatoria,0,n_events_total
2015-12,Eastern Equatoria,1,n_events_total
2016-01,Eastern Equatoria,0,n_events_total
2016-02,Eastern Equatoria,0,n_events_total
2016-03,Eastern Equatoria,1,n_events_total
2016-04,Eastern Equatoria,1,n_events_total
2016-05,Eastern Equatoria,2,n_events_total
2016-06,Eastern Equatoria,0,n_events_total
2016-07,Eastern Equatoria,2,n_events_total
2016-08,Eastern Equatoria,0,n_events_total
2016-09,Eastern Equatoria,2,n_events_total
2016-10,Eastern Equatoria,3,n_events_total
2016-11,Eastern Equatoria,0,n_events_total
2016-12,Eastern Equatoria,0,n_events_total
2017-01,Eastern Equatoria,0,n_events_total
2017-02,Eastern Equatoria,2,n_events_total
2017-03,Eastern Equatoria,2,n_events_total
2017-04,Eastern Equatoria,1,n_events_total
2017-05,Eastern Equatoria,1,n_events_total
2017-06,Eastern Equatoria,0,n_events_total
2017-07,Eastern Equatoria,1,n_events_total
2017-08,Eastern Equatoria,0,n_events_total
2017-09,Eastern Equatoria,0,n_events_total
2017-10,Eastern Equatoria,0,n_events_total
2017-11,Eastern Equatoria,1,n_events_total
2017-12,Eastern Equatoria,0,n_events_total
2018-01,Eastern Equatoria,3,n_events_total
2018-02,Eastern Equatoria,0,n_events_total
2018-03,Eastern Equatoria,1,n_events_total
2018-04,Eastern Equatoria,1,n_events_total
2018-05,Eastern Equatoria,1,n_events_total
2018-06,Eastern Equatoria,0,n_events_total
2018-07,Eastern Equatoria,0,n_events_total
2018-08,Eastern Equatoria,0,n_events_total
2018-09,Eastern Equatoria,0,n_events_total
2018-10,Eastern Equatoria,1,n_events_total
2018-11,Eastern Equatoria,0,n_events_total
2018-12,Eastern Equatoria,0,n_events_total
2019-01,Eastern Equatoria,0,n_events_total
2019-02,Eastern Equatoria,0,n_events_total
2019-03,Eastern Equatoria,0,n_events_total
2019-04,Eastern Equatoria,1,n_events_total
2019-05,Eastern Equatoria,1,n_events_total
2019-06,Eastern Equatoria,0,n_events_total
